date,time,close,atm_strike,month
07-11-2024,13:00:00,24222.7,24200,November
07-11-2024,13:15:00,24214.95,24200,November
07-11-2024,13:30:00,24198.85,24200,November
07-11-2024,13:45:00,24182.55,24200,November
07-11-2024,14:00:00,24213.15,24200,November
07-11-2024,14:15:00,24213.8,24200,November
07-11-2024,14:30:00,24192.3,24200,November
07-11-2024,14:45:00,24188.9,24200,November
08-11-2024,09:45:00,24252.25,24250,November
08-11-2024,10:00:00,24173.5,24150,November
08-11-2024,10:15:00,24192.45,24200,November
08-11-2024,10:30:00,24192.4,24200,November
08-11-2024,10:45:00,24162.25,24150,November
08-11-2024,11:00:00,24171.8,24150,November
08-11-2024,11:15:00,24169.9,24150,November
08-11-2024,11:30:00,24150.2,24150,November
08-11-2024,11:45:00,24142.35,24150,November
08-11-2024,12:00:00,24115.2,24100,November
08-11-2024,12:15:00,24119.7,24100,November
08-11-2024,12:30:00,24125.1,24150,November
08-11-2024,12:45:00,24142.65,24150,November
08-11-2024,13:00:00,24140.5,24150,November
08-11-2024,13:15:00,24162.0,24150,November
08-11-2024,13:30:00,24178.2,24200,November
08-11-2024,13:45:00,24155.6,24150,November
08-11-2024,14:00:00,24149.3,24150,November
08-11-2024,14:15:00,24132.8,24150,November
08-11-2024,14:30:00,24136.65,24150,November
08-11-2024,14:45:00,24163.55,24150,November
11-11-2024,09:45:00,24146.45,24150,November
11-11-2024,10:00:00,24155.4,24150,November
11-11-2024,10:15:00,24127.15,24150,November
11-11-2024,10:30:00,24225.15,24250,November
11-11-2024,10:45:00,24251.45,24250,November
11-11-2024,11:00:00,24264.65,24250,November
11-11-2024,11:15:00,24317.2,24300,November
11-11-2024,11:30:00,24313.55,24300,November
11-11-2024,11:45:00,24328.15,24350,November
11-11-2024,12:00:00,24290.9,24300,November
11-11-2024,12:15:00,24259.9,24250,November
11-11-2024,12:30:00,24237.9,24250,November
11-11-2024,12:45:00,24251.6,24250,November
11-11-2024,13:00:00,24227.7,24250,November
11-11-2024,13:15:00,24221.75,24200,November
11-11-2024,13:30:00,24198.85,24200,November
11-11-2024,13:45:00,24144.6,24150,November
11-11-2024,14:00:00,24151.0,24150,November
11-11-2024,14:15:00,24096.25,24100,November
11-11-2024,14:30:00,24143.8,24150,November
11-11-2024,14:45:00,24184.3,24200,November
12-11-2024,09:45:00,24149.65,24150,November
12-11-2024,10:00:00,24207.45,24200,November
