month,date,pair_trades,day_pnl,winning_pairs,losing_pairs,pair_stoploss_exits,max_loss_exits,forced_1459_exits,,,,cost of single trade ,,total trades,,total cost =,,pnl,final pnl
March,4/3/2024,21,24157.5,19,2,0,0,21,,,,,,,,,,,
March,5/3/2024,21,20347.5,20,1,0,0,21,,,,,,,,,,,
March,6/3/2024,20,-50000,1,19,12,8,0,,,,,,,,,,,
March,7/3/2024,21,18570,20,1,1,0,20,,,,,,,,,,,
March,11/3/2024,21,18427.5,19,2,0,0,21,,,,,,,,,,,
March,12/3/2024,21,-2565,15,6,3,0,18,,,,,,,,,,,
March,13-03-2024,19,-50000,0,19,9,10,0,,,,,,,,,,,
March,14-03-2024,21,-6277.5,12,9,9,0,12,,,,,,,,,,,
March,15-03-2024,21,35310,21,0,0,0,21,,,,,,,,,,,
March,18-03-2024,21,21187.5,19,2,0,0,21,,,,,,,,,,,
March,19-03-2024,21,49035,21,0,0,0,21,,,,,,,,,,,
March,20-03-2024,21,32122.5,20,1,1,0,20,,,,,,,,,,,
March,21-03-2024,21,1365,13,8,8,0,13,,,,,,,,,,,
March,22-03-2024,21,5947.5,19,2,2,0,19,,,,,,,,,,,
March,26-03-2024,21,23235,19,2,0,0,21,,,,,,,,,,,
March,27-03-2024,21,32640,21,0,0,0,21,,,,,,,,,,,
March,28-03-2024,21,-23467.5,1,20,19,0,2,,,,,,,,,,,
April,1/4/2024,21,23812.5,21,0,0,0,21,,,,,,,,,,,
April,2/4/2024,21,15502.5,18,3,0,0,21,,,,,,,,,,,
April,3/4/2024,21,12382.5,19,2,1,0,20,,,,,,,,,,,
April,4/4/2024,21,-24337.5,5,16,15,0,6,,,,,,,,,,,
April,5/4/2024,21,29002.5,21,0,0,0,21,,,,,,,,,,,
April,8/4/2024,21,10485,18,3,0,0,21,,,,,,,,,,,
April,9/4/2024,21,1582.5,15,6,3,0,18,,,,,,,,,,,
April,10/4/2024,21,13462.5,21,0,0,0,21,,,,,,,,,,,
April,12/4/2024,21,-12712.5,9,12,3,0,18,,,,,,,,,,,
April,15-04-2024,21,20917.5,15,6,0,0,21,,,,,,,,,,,
April,16-04-2024,21,-12577.5,9,12,6,0,15,,,,,,,,,,,
April,18-04-2024,15,-50000,1,14,14,1,0,,,,,,,,,,,
April,19-04-2024,14,-50000,1,13,0,14,0,,,,,,,,,,,
April,22-04-2024,21,25957.5,21,0,0,0,21,,,,,,,,,,,
April,23-04-2024,21,24052.5,21,0,0,0,21,,,,,,,,,,,
April,24-04-2024,21,14850,19,2,0,0,21,,,,,,,,,,,
April,25-04-2024,21,-41557.5,3,18,18,0,3,,,,,,,,,,,
April,26-04-2024,21,19980,18,3,0,0,21,,,,,,,,,,,
April,29-04-2024,21,-15465,7,14,0,0,21,,,,,,,,,,,
April,30-04-2024,21,1335,12,8,0,0,21,,,,,,,,,,,
May,2/5/2024,21,40035,20,1,1,0,20,,,,,,,,,,,
